name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Patata novella, con buccia, bollita (senza sale)",,,1.8,13.6,0.1,66,0.0,0.0,0.0,,,1.1,0.0,1.8,0.0,,,0.00013000000000000002,1e-05,0.0007,0.00051,0.00013000000000000002,,2.1e-05,0.0,0.007,0.0,0.00011,,,0.018,0.38,0.011,,0.0002,0.003,0.0006,0.044,0.0,0.0,,
"Patate al gratin ""dauphinois"", preparate",,,2.5,11.3,7.8,128,4.7,1.8,0.4,,,2.4,0.3,1.3,0.023,,,5e-05,0.00011,0.0007099999999999999,0.00033,8.999999999999999e-05,,1.08e-05,7e-08,0.0104,1.0000000000000001e-07,0.00022,,,0.018,0.31,0.052,,0.0003,0.13,0.0002,0.071,0.0,6.4000000000000006e-06,,
"Patate al gratin ""savoyard"", preparate",,,2.1,10.6,2.3,75,1.4,0.6,0.1,,,0.5,0.4,1.4,0.006,,,8.999999999999999e-05,4e-05,0.00079,0.00025,8.999999999999999e-05,,1.17e-05,4e-08,0.0114,0.0,8e-05,,,0.018,0.28,0.032,,0.0003,0.15,0.0002,0.053,0.0,5e-06,,
"Patate fritte al forno, surgelate",,,2.4,23.4,5.1,154,0.5,4.0,0.4,,,1.1,0.0,2.5,0.0,,,8e-05,5.9999999999999995e-05,0.00135,0.00041,0.00016,,1.98e-05,0.0,0.0214,0.0,0.00174,,,0.027,0.48,0.0060999999999999995,,0.0003,0.0012,0.0003,0.061,3e-07,4.7e-06,,
"Patate fritte (cotte nel forno), non salate",,,3.8,32.6,6.6,213,0.6,5.1,0.5,,,0.3,0.0,4.2,0.0,,,0.0001,2e-05,0.00115,0.0005200000000000001,0.0005200000000000001,,4.0600000000000004e-05,0.0,0.0024,0.0,0.00226,,,0.029,0.59,0.011,,0.0005,0.0016,0.0007,0.081,4.0000000000000003e-07,6.2e-06,,
"Patate fritte (fritte in olio di girasole HO), non salate",,,3.2,32.4,15.4,286,1.6,12.6,0.7,,,1.6,0.0,2.5,0.0,,,0.00025,2.9999999999999997e-05,0.0008100000000000001,0.00057,0.0007,,3.98e-05,0.0,0.0214,0.0,0.0013,,,0.026,0.58,0.0094,,0.0004,0.015,0.0006,0.06,0.0,5.0999999999999995e-06,,
"Patate, pelate, al vapore (senza aggiunta di sale)",,,2.0,15.6,0.1,75,0.0,0.0,0.0,,,0.7,0.0,2.1,0.0,,,7.000000000000001e-05,5e-05,0.0011,0.00033,0.00011999999999999999,,1.31e-05,0.0,0.0158,0.0,5.9999999999999995e-05,,,0.022,0.35,0.005,,0.0002,0.0009,0.0002,0.05,2.0000000000000002e-07,3.9e-06,,
"Patate, pelate, crude",,,2.0,15.6,0.1,76,0.0,0.0,0.0,,,0.7,0.0,2.1,0.0,,,8e-05,5e-05,0.0012,0.00038,0.00014000000000000001,,2.14e-05,0.0,0.019399999999999997,0.0,5.9999999999999995e-05,,,0.023,0.4,0.0050999999999999995,,0.0002,0.001,0.0003,0.051,3e-07,4e-06,,
Patatine a ridotto contenuto di grassi,,,5.9,59.2,22.1,468,2.5,5.9,12.3,,,3.0,1.2,4.5,0.0,,,0.00046,5.9999999999999995e-05,0.00148,0.0010400000000000001,0.00127,,7.28e-05,0.0,0.039,0.0,0.00261,,,0.048,1.06,0.017,,0.0008,0.49,0.0011,0.11,0.0,9.6e-06,,
Paté di campgagna,,,13.6,0.9,26.5,298,9.7,12.0,3.0,,,0.7,2.2,0.1,0.119,,,0.00025,0.00075,0.00413,0.00141,0.0002,,2.09e-05,6.33e-06,0.0039,0.0,0.00046,,,0.014,0.13,0.017,,0.002,0.87,0.004200000000000001,0.11,0.0,4.8e-06,,
"Peperone rosso, crudo",,,0.9,5.9,0.1,32,0.0,0.0,0.1,,,5.2,0.0,1.7,0.0,,,2.9999999999999997e-05,8e-05,0.00098,0.00016,0.00029,,4.14e-05,0.0,0.149,0.0,0.00226,,,0.012,0.24,0.0066,,0.0001,0.0004,0.0003,0.025,1.0000000000000001e-07,1.0000000000000001e-07,,
"Peperone, rosso, stufato (senza aggiunta di sale)",,,1.1,7.2,0.1,39,0.0,0.0,0.1,,,6.4,0.0,2.1,0.0,,,2.9999999999999997e-05,8e-05,0.0010400000000000001,0.00017999999999999998,0.00031,,3.27e-05,0.0,0.1431,0.0,0.00297,,,0.013,0.25,0.0085,,0.0001,0.0004,0.0004,0.031,2.0000000000000002e-07,2.0000000000000002e-07,,
"Peperone verde, crudo",,,0.9,3.0,0.3,22,0.1,0.0,0.2,,,2.6,0.0,1.8,0.0,,,2.9999999999999997e-05,2.9999999999999997e-05,0.0006,0.00015,0.00025,,2.78e-05,0.0,0.122,0.0,0.00063,,,0.011,0.19,0.0086,,0.0001,0.006,0.0004,0.027,1.0000000000000001e-07,4.0000000000000003e-07,,
